datetime,open,high,low,close,volume,BB_MIDDLE,BB_UPPER,BB_LOWER,BBWIDTH,MACD,MACD_signal,RSI,BBp,ADX,DMIp,DMIm,STOCH_K,STOCH_D,WR,min1,max2,buy,sell,buy_sell,div,BBSQ,buyORsell,bOs_N
2021-05-30 05:00:00,34531.05,34974.99,34360.48,34770.12,2919.087099,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0,0,2,0.5058823529411764
2021-05-30 06:00:00,34770.13,35258.28,34631.73,34751.74,3589.161222,,,,,-0.4123717948750709,-0.2290954415972616,0.0,,,,,,,,34751.74,,0.0,0.0,,0,0,3,0.5176470588235295
2021-05-30 07:00:00,34750.71,35492.89,34750.7,35325.61,4145.05298,,,,,17.27023084443499,6.942759593661856,97.11185139342766,,,,,,,,,,0.0,0.0,,0,0,-1,0.47058823529411764
2021-05-30 08:00:00,35327.19,35881.54,35251.98,35775.9,4683.259174,,,,,41.14692460054357,18.529536357510672,98.41363503115778,,,,,,,,,,0.0,0.0,,0,0,-4,0.43529411764705883
2021-05-30 09:00:00,35775.9,36232.09,35583.51,35998.33,4081.661986,,,,,62.10591811775521,31.492524744066042,98.7204418702401,,,,,,,,,,0.0,0.0,,0,0,-6,0.4117647058823529
2021-05-30 10:00:00,35996.12,36211.25,35546.42,35668.64,3320.046135,,,,,59.439993369567674,39.0678425907737,75.43305663460671,,,,,,,,,,0.0,0.0,,0,0,-3,0.4470588235294118
2021-05-30 11:00:00,35671.62,36021.56,35671.62,35840.73,2123.159529,,,,,64.50244365629624,45.50466158704505,78.30927730232146,,,,,,,,,,0.0,0.0,,0,0,-5,0.4235294117647059
2021-05-30 12:00:00,35840.02,35999.0,35653.45,35702.99,2756.621243,,,,,60.308970375946956,49.06241538410666,71.13101669028092,,,,,,,,,,0.0,0.0,,0,0,-4,0.43529411764705883
2021-05-30 13:00:00,35703.0,36420.0,35700.0,36359.44,4034.044644,,,,,89.05631627100956,58.30120489974666,80.36751763630964,,,,,,,,,36359.44,0.0,0.0,,0,0,-8,0.38823529411764707
2021-05-30 14:00:00,36359.44,36488.0,35280.0,35524.92,4859.677007,,,,,65.16766605510202,59.839690796069306,55.887549928705184,,,,,,,,,,0.0,0.0,,0,0,-2,0.45882352941176474
