datetime,open,high,low,close,volume,BB_MIDDLE,BB_UPPER,BB_LOWER,BBWIDTH,MACD,MACD_signal,RSI,BBp,ADX,DMIp,DMIm,STOCH_K,STOCH_D,min,max,RSImin,RSImax,MACD_cross
2021-05-29 16:00:00,34888.66,35300.0,34200.0,34618.56,6193.053689,,,,,0.0,0.0,,,,,,,,,,,,
2021-05-29 17:00:00,34620.3,34622.98,33800.0,34416.27,9643.083474,,,,,-4.538557692307222,-2.521420940170679,0.0,,,,,,,,,,,
2021-05-29 18:00:00,34416.26,35049.0,34004.69,34828.86,6211.307749,,,,,7.011367867991794,1.3854597189123012,68.71567196405448,,,,,,,,34828.86,,,UP
2021-05-29 19:00:00,34835.4,34856.96,33650.0,33891.84,6021.105841,,,,,-21.73808059967996,-6.447717895786974,25.63420447403388,,,,,,,33891.84,,,,DOWN
2021-05-29 20:00:00,33893.55,34179.96,33632.76,34070.98,5465.342194,,,,,-29.77406668018375,-13.386779290479017,34.13600918624661,,,,,,,,,,,
2021-05-29 21:00:00,34069.35,34329.59,33674.91,34025.43,4135.986849,,,,,-35.99287532438029,-19.51428819029179,33.09980850655067,,,,,,,,,,,
2021-05-29 22:00:00,34025.44,34494.93,33752.3,34234.18,4658.099088,,,,,-29.904366371483775,-22.143739795888145,41.81653629683626,,,,,,,,,,,
2021-05-29 23:00:00,34235.14,34742.93,34063.98,34650.08,3326.550872,,,,,-5.56088734993682,-18.158568512516677,54.52849723730634,,,,,,,,,,,UP
2021-05-30 00:00:00,34650.08,34651.73,34235.93,34467.84,2435.36036,,,,,2.3395356375112897,-13.423404762241145,49.43211875363062,,,,,,,,,,,
2021-05-30 01:00:00,34468.95,35100.0,34137.09,34605.15,3780.594984,,,,,14.982594180546585,-7.05881203308105,52.9967085464615,,,,,,,,,,,
2021-05-30 02:00:00,34605.15,34616.26,33379.0,33855.95,6060.999971,,,,,-16.005507826681423,-9.01629795187296,37.47456521297119,,,,,,,33855.95,,,,DOWN
2021-05-30 03:00:00,33849.25,34071.41,33500.0,33897.89,2693.575635,,,,,-36.20287528385961,-14.854834601754078,38.55942449081654,,,,,,,,,,,
2021-05-30 04:00:00,33896.76,34659.1,33785.21,34531.04,2598.610171,,,,,-14.936059299368935,-14.87202456976236,52.077600841731844,,,,,,,,,,,
2021-05-30 05:00:00,34531.05,34974.99,34360.48,34770.12,2919.087099,,,,,15.03258539752278,-8.6159578523059,56.01316391385916,,100.0,38.54502858328195,0.0,72.41644976574715,,,,,,UP
2021-05-30 06:00:00,34770.13,35258.28,34631.73,34751.74,3589.161222,,,,,36.350945589299954,0.7053885564290991,55.63489336643842,,100.0,37.253881806841264,0.0,73.04606019326543,,,,,,
2021-05-30 07:00:00,34750.71,35492.89,34750.7,35325.61,4145.05298,,,,,86.875319816907,18.43851802905615,63.84476413041763,,100.0,34.68344725055869,0.0,92.086627024112,79.18304566104153,,,,,
2021-05-30 08:00:00,35327.19,35881.54,35251.98,35775.9,4683.259174,,,,,152.19507735368097,45.80609289379549,68.73389864536632,,100.0,39.44872239318268,0.0,95.77868885212627,86.97045868983457,,,,,
2021-05-30 09:00:00,35775.9,36232.09,35583.51,35998.33,4081.661986,,,,,214.37525290727353,80.1384007723659,70.83212041381655,,100.0,41.73113926699574,0.0,91.80677791447185,93.22403126357004,,,,70.83212041381655,
2021-05-30 10:00:00,35996.12,36211.25,35546.42,35668.64,3320.046135,,,,,238.4045947305276,112.25448105907608,63.97866022480457,,98.81397062702322,33.42693087113012,1.0267460187279103,80.25123637880341,89.27890104846718,,,,,
2021-05-30 11:00:00,35671.62,36021.56,35671.62,35840.73,2123.159529,34711.257,36068.769757689,33353.744242311,0.07821743578395914,265.26582947665884,143.2136860748751,65.83677710746329,0.9160082450800664,97.97143106016391,27.52773115114226,0.8455454218340575,86.28294235372898,86.11365221566808,,,,,
2021-05-30 12:00:00,35840.02,35999.0,35653.45,35702.99,2756.621243,34765.478500000005,36192.262620642236,33338.694379357774,0.08208051102430422,273.72744742451323,169.5594349886238,63.03407043475536,0.8285400665862458,96.78977954506209,23.131461239920156,1.1443127484798392,81.45519419296275,82.66312430849838,,,,,
2021-05-30 13:00:00,35703.0,36420.0,35700.0,36359.44,4034.044644,34862.637,36445.413215682594,33279.86078431741,0.09080071686387876,321.04918364680634,200.08260596962214,69.66255618646962,0.9728410072028044,96.30274444394767,28.932589602682114,0.9763859082005767,98.00854981913851,88.5822287886101,,36359.44,,,
2021-05-30 14:00:00,36359.44,36488.0,35280.0,35524.92,4859.677007,34897.44,36507.465205268534,33287.41479473147,0.09227182310613798,297.24774575491756,219.6310274396098,55.93188082473764,0.694866514495138,89.75076192837793,24.984156729506616,8.711656702279026,69.02283692505623,82.82886031238583,,,,,
2021-05-30 15:00:00,35524.94,35806.96,35401.0,35676.86,2833.671972,34986.691,36559.47330661327,33413.90869338673,0.08990746261847224,285.6986200754691,232.9072411132535,57.57159901111549,0.719410212429897,84.43844980793706,21.782788630755924,7.59538048948189,73.90993888710197,80.31377521043224,,,,,
