datetime,open,high,low,close,volume,BB_MIDDLE,BB_UPPER,BB_LOWER,BBWIDTH,MACD,MACD_signal,RSI,BBp,ADX,DMIp,DMIm,STOCH_K,STOCH_D,min,max,RSImin,RSImax
2021-05-25 20:00:00,37951.99,38288.0,37756.26,37884.91,2717.459642,,,,,0.0,0.0,,,,,,,,,,,
2021-05-25 21:00:00,37884.9,37984.64,37011.0,37292.69,3464.765379,,,,,-13.286987179490097,-7.381659544161165,0.0,,,,,,,37292.69,,,
2021-05-25 22:00:00,37292.69,37794.72,37250.01,37598.77,2513.621469,,,,,-7.438736473559402,-7.405051728340769,35.757069020475214,,,,,,,,,,
2021-05-25 23:00:00,37603.8,38110.0,37420.4,37937.79,2369.798232,,,,,7.643655113643035,-2.307251307614549,54.96520288052988,,,,,,,,,,
2021-05-26 00:00:00,37937.81,38753.98,37906.77,38405.0,3692.719609,,,,,34.269644072672236,8.573548127263717,68.80691139238763,,,,,,,,,,
2021-05-26 01:00:00,38402.99,38467.22,37946.55,38324.72,2194.475099,,,,,46.198499165031535,18.77200176530903,65.10411488747312,,,,,,,,,,
2021-05-26 02:00:00,38324.72,38600.0,37800.44,38099.53,3715.166099,,,,,42.851350604294566,24.865842577883317,56.00045980601283,,,,,,,,,,
2021-05-26 03:00:00,38099.52,38888.0,38074.72,38658.22,3359.477087,,,,,66.48918141415925,34.86871362730073,67.9678595205219,,,,,,,,,,
2021-05-26 04:00:00,38660.17,39573.25,38641.54,39212.14,6381.349602,,,,,109.32826099895465,52.06923846587213,75.17678478233569,,,,,,,,,,
2021-05-26 05:00:00,39212.14,39693.66,39094.11,39503.98,3425.442502,,,,,153.15903955503745,74.719222164745,77.98761214609381,,,,,,,,,,
2021-05-26 06:00:00,39503.98,39606.67,39000.0,39387.86,3107.351158,,,,,176.49756659336708,96.98774237077357,74.37873718856606,,,,,,,,,,
2021-05-26 07:00:00,39387.86,39524.75,39152.0,39229.28,3115.325611,,,,,182.49603895077598,115.35133839666457,69.6393009578172,,,,,,,,,,
2021-05-26 08:00:00,39229.28,40755.0,39157.48,40549.99,8224.625409,,,,,259.1282744964774,145.7795333233324,80.68052043276751,,,,,,,,40549.99,,80.68052043276751
2021-05-26 09:00:00,40549.99,40604.49,40261.07,40445.79,3829.989932,,,,,307.08395529679547,179.5245387519502,78.2622625545719,,,0.0,0.0,91.74118589743591,,,,,
2021-05-26 10:00:00,40445.79,40841.0,39737.75,40148.49,6455.834267,,,,,321.68938054458704,208.99438515160367,71.6623686707001,,100.0,0.0,35.35999824597438,81.91879895561352,,,,,
2021-05-26 11:00:00,40152.12,40428.9,40066.0,40150.0,2700.857814,,,,,328.82018257132586,233.65364098159293,71.67543382496478,,100.0,0.0,22.68987090372396,80.75739559285878,84.80579348196942,,,,
2021-05-26 12:00:00,40150.0,40330.0,39526.0,39681.38,5136.733159,,,,,301.17744288195536,247.46950700708646,62.10548702137981,,100.0,0.0,36.627822455920175,66.09893001227846,76.25837485358359,,,,
2021-05-26 13:00:00,39681.38,39899.48,39379.79,39850.65,3143.223425,,,,,286.98270361293544,255.51711922174084,63.976467880822256,,100.0,0.0,32.797704348145274,67.42869734522591,71.42834098345439,,,,
2021-05-26 14:00:00,39850.66,40289.75,39750.01,40119.99,4310.665267,,,,,289.86112118178426,262.4863569138235,66.78651144881599,,86.41309644094159,10.96607435849054,26.27118778049457,76.28693398584463,69.93818711444966,,,,
2021-05-26 15:00:00,40120.0,40123.31,38790.23,38831.98,7319.982727,39065.658,41066.09692653693,37065.21907346308,0.10241419338370926,204.62372764959582,250.7788527275618,47.64591414121472,0.44159331812130515,82.30610099932385,9.030776647959621,43.740990693419505,33.925987318125664,59.21387288306539,,,,
2021-05-26 16:00:00,38831.98,39339.52,38777.77,39129.22,5318.546814,39127.8735,41049.53941317643,37206.20758682357,0.09822490931823483,155.97967727985815,231.64251608575117,51.126952800092404,0.5003503470584473,79.42450711028538,7.588531682894831,37.021000328012505,38.11978541579307,49.44423557325445,,,,
2021-05-26 17:00:00,39128.16,39227.42,38440.0,38758.61,6130.04002,39201.1695,40930.289167728435,37472.04983227157,0.08821775930579986,91.60123921540799,203.42606001415461,46.93647716282979,0.37202750964558756,78.08328929536168,6.474921658397184,38.22028008214346,13.269887546855502,28.438553426924745,,,,
